,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
747,Super Kings,Mum Indians,Mum Indians,46 runs,Chennai,"Apr 26, 2019",T20
748,Royals,Sunrisers,Royals,7 wickets,Jaipur,"Apr 27, 2019",T20
749,Capitals,RCB,Capitals,16 runs,Delhi,"Apr 28, 2019",T20
750,KKR,Mum Indians,KKR,34 runs,Kolkata,"Apr 28, 2019",T20
751,Sunrisers,Kings XI,Sunrisers,45 runs,Hyderabad (Deccan),"Apr 29, 2019",T20
752,RCB,Royals,no result,,Bengaluru,"Apr 30, 2019",T20
753,Super Kings,Capitals,Super Kings,80 runs,Chennai,"May 1, 2019",T20
754,Mum Indians,Sunrisers,tied,,Mumbai,"May 2, 2019",T20
755,Kings XI,KKR,KKR,7 wickets,Mohali,"May 3, 2019",T20
756,Capitals,Royals,Capitals,5 wickets,Delhi,"May 4, 2019",T20
757,RCB,Sunrisers,RCB,4 wickets,Bengaluru,"May 4, 2019",T20
758,Kings XI,Super Kings,Kings XI,6 wickets,Mohali,"May 5, 2019",T20
759,Mum Indians,KKR,Mum Indians,9 wickets,Mumbai,"May 5, 2019",T20
760,Mum Indians,Super Kings,Mum Indians,6 wickets,Chennai,"May 7, 2019",T20
761,Capitals,Sunrisers,Capitals,2 wickets,Visakhapatnam,"May 8, 2019",T20
762,Super Kings,Capitals,Super Kings,6 wickets,Visakhapatnam,"May 10, 2019",T20
763,Mum Indians,Super Kings,Mum Indians,1 run,Hyderabad (Deccan),"May 12, 2019",T20
